"SUBJECT","YEAR_ID","MONTH_ID","DETAIL_NAME_THAI","COUNTRY","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,1,"ก๊าซธรรมชาติ","เมียนมา",29033,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,2,"ก๊าซธรรมชาติ","เมียนมา",32302,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,3,"ก๊าซธรรมชาติ","เมียนมา",36209,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,4,"ก๊าซธรรมชาติ","เมียนมา",25678,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,5,"ก๊าซธรรมชาติ","เมียนมา",30752,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,6,"ก๊าซธรรมชาติ","เมียนมา",29703,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,7,"ก๊าซธรรมชาติ","เมียนมา",32170,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,8,"ก๊าซธรรมชาติ","เมียนมา",32904,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,9,"ก๊าซธรรมชาติ","เมียนมา",32835,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,10,"ก๊าซธรรมชาติ","เมียนมา",31728,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,11,"ก๊าซธรรมชาติ","เมียนมา",26469,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2551,12,"ก๊าซธรรมชาติ","เมียนมา",23954,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,1,"ก๊าซธรรมชาติ","เมียนมา",11959,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,2,"ก๊าซธรรมชาติ","เมียนมา",25063.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,3,"ก๊าซธรรมชาติ","เมียนมา",24588.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,4,"ก๊าซธรรมชาติ","เมียนมา",28483.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,5,"ก๊าซธรรมชาติ","เมียนมา",33425,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,6,"ก๊าซธรรมชาติ","เมียนมา",33259,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,7,"ก๊าซธรรมชาติ","เมียนมา",31839,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,8,"ก๊าซธรรมชาติ","เมียนมา",34883,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,9,"ก๊าซธรรมชาติ","เมียนมา",33234,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,10,"ก๊าซธรรมชาติ","เมียนมา",36007.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,11,"ก๊าซธรรมชาติ","เมียนมา",33623.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2552,12,"ก๊าซธรรมชาติ","เมียนมา",22950.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,1,"ก๊าซธรรมชาติ","เมียนมา",28262,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,2,"ก๊าซธรรมชาติ","เมียนมา",32813,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,3,"ก๊าซธรรมชาติ","เมียนมา",25094,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,4,"ก๊าซธรรมชาติ","เมียนมา",32477,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,5,"ก๊าซธรรมชาติ","เมียนมา",34624,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,6,"ก๊าซธรรมชาติ","เมียนมา",30996,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,7,"ก๊าซธรรมชาติ","เมียนมา",33369,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,8,"ก๊าซธรรมชาติ","เมียนมา",31400,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,9,"ก๊าซธรรมชาติ","เมียนมา",33035.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,10,"ก๊าซธรรมชาติ","เมียนมา",31249.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,11,"ก๊าซธรรมชาติ","เมียนมา",28175,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2553,12,"ก๊าซธรรมชาติ","เมียนมา",30305.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2554,1,"ก๊าซธรรมชาติ","เมียนมา",22877.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2554,2,"ก๊าซธรรมชาติ","เมียนมา",26280,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2554,3,"ก๊าซธรรมชาติ","เมียนมา",30920,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2554,4,"ก๊าซธรรมชาติ","เมียนมา",31044,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
