SUBJECT,YEAR_ID,MONTH_ID,BALANCE_VALUE,UNIT,DATAOWNER
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,8,3930.707,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,9,6591.749,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,10,7371.734,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,11,6853.652,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,12,1770.982,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,1,6565.224385,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,2,4649.800871,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,3,5459.688552,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,4,2435.987851,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,5,4909.704765,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,6,4713.843152,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,7,4924.564828,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,8,4266.236451,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,9,2678.034182,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,10,1451.591176,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,11,1365.356874,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2567,12,1211.193913,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
